Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../images_ouput\2022_12_22_16_25_32_619.jpg;21.0;0.2;0;0.0;106.6775;84.5583;359.8374;90.346;0.0201
../images_ouput\2022_12_22_16_25_32_631.jpg;21.0;0.2;0;0.0;106.6775;84.5583;359.8374;90.346;0.0201
../images_ouput\2022_12_22_16_25_32_645.jpg;21.0;0.2;0;0.0;106.6775;84.5585;359.8435;90.3502;0.0174
../images_ouput\2022_12_22_16_25_32_707.jpg;21.0;0.2;0;-0.0181;106.6776;84.558;359.8331;90.321;0.0139
../images_ouput\2022_12_22_16_25_32_720.jpg;21.0;0.2;0;-0.0181;106.6776;84.558;359.8331;90.321;0.0139
../images_ouput\2022_12_22_16_25_32_730.jpg;21.0;0.2;0;0.0;106.6774;84.5582;359.8425;90.3126;0.0171
../images_ouput\2022_12_22_16_25_32_769.jpg;21.0;0.2;0;0.0;106.6775;84.5585;359.8495;90.332;0.0122
../images_ouput\2022_12_22_16_25_32_792.jpg;21.0;0.2;0;-0.0123;106.6774;84.558;359.8403;90.333;0.0155
../images_ouput\2022_12_22_16_25_32_802.jpg;21.0;0.2;0;-0.0123;106.6774;84.558;359.8403;90.333;0.0155
../images_ouput\2022_12_22_16_25_32_820.jpg;21.0;0.2;0;0.0;106.6774;84.558;359.8411;90.3023;0.0147
../images_ouput\2022_12_22_16_25_32_838.jpg;21.0;0.2;0;0.0;106.6773;84.5581;359.8439;90.2413;0.0158
../images_ouput\2022_12_22_16_25_32_851.jpg;21.0;0.2;0;0.0;106.6773;84.5581;359.8439;90.2413;0.0158
../images_ouput\2022_12_22_16_25_32_862.jpg;21.0;0.2;0;0.0;106.6772;84.5581;359.8468;90.2289;0.0175
../images_ouput\2022_12_22_16_25_32_887.jpg;21.0;0.2;0;0.0;106.6772;84.5582;359.8484;90.3175;0.0176
../images_ouput\2022_12_22_16_25_32_905.jpg;21.0;0.2;0;0.0;106.6772;84.5584;359.8534;90.3177;0.0169
../images_ouput\2022_12_22_16_25_32_920.jpg;21.0;0.2;0;0.0;106.6772;84.5584;359.8534;90.3177;0.0169
../images_ouput\2022_12_22_16_25_32_932.jpg;21.0;0.2;0;0.0;106.6771;84.5584;359.8541;90.3057;0.0189
../images_ouput\2022_12_22_16_25_32_955.jpg;21.0;0.2;0;0.0;106.6771;84.5584;359.8567;90.3807;0.0185
../images_ouput\2022_12_22_16_25_32_969.jpg;21.0;0.2;0;0.0;106.6771;84.5584;359.8561;90.3968;0.0177
../images_ouput\2022_12_22_16_25_32_981.jpg;21.0;0.2;0;0.0;106.6771;84.5584;359.8561;90.3968;0.0177
../images_ouput\2022_12_22_16_25_33_002.jpg;21.0;0.2;0;0.0;106.6773;84.5586;359.8598;90.4143;0.0135
../images_ouput\2022_12_22_16_25_33_022.jpg;21.0;0.2;0;0.0;106.6775;84.5587;359.8612;90.4404;0.0077
../images_ouput\2022_12_22_16_25_33_031.jpg;21.0;0.2;0;0.0;106.6775;84.5587;359.8612;90.4404;0.0077
../images_ouput\2022_12_22_16_25_33_052.jpg;21.0;0.2;0;0.0;106.6775;84.5587;359.86;90.4448;0.0064
../images_ouput\2022_12_22_16_25_33_071.jpg;21.0;0.2;0;0.0;106.6775;84.5577;359.8357;90.4295;0.005
../images_ouput\2022_12_22_16_25_33_085.jpg;21.0;0.2;0;0.0;106.6775;84.5577;359.8357;90.4295;0.005
../images_ouput\2022_12_22_16_25_33_095.jpg;21.0;0.2;0;0.0;106.6776;84.5577;359.8343;90.391;0.0028
../images_ouput\2022_12_22_16_25_33_119.jpg;21.0;0.2;0;0.0;106.6776;84.5577;359.8343;90.391;0.0028
../images_ouput\2022_12_22_16_25_33_139.jpg;21.0;0.2;0;0.0;106.6775;84.5579;359.842;90.35;0.0045
../images_ouput\2022_12_22_16_25_33_151.jpg;21.0;0.2;0;0.0;106.6775;84.5579;359.842;90.35;0.0045
../images_ouput\2022_12_22_16_25_33_171.jpg;21.0;0.2;0;0.0126;106.6772;84.5583;359.8503;90.3086;0.0104
../images_ouput\2022_12_22_16_25_33_191.jpg;21.0;0.2;0;0.0;106.6771;84.5583;359.851;90.2906;0.0138
../images_ouput\2022_12_22_16_25_33_204.jpg;21.0;0.2;0;0.0;106.6771;84.5583;359.851;90.2906;0.0138
../images_ouput\2022_12_22_16_25_33_220.jpg;21.0;0.2;0;0.0;106.677;84.5583;359.8492;90.2728;0.0167
../images_ouput\2022_12_22_16_25_33_239.jpg;21.0;0.2;0;-0.0116;106.6771;84.5579;359.8406;90.2193;0.0136
../images_ouput\2022_12_22_16_25_33_251.jpg;21.0;0.2;0;-0.0116;106.6771;84.5579;359.8406;90.2193;0.0136
../images_ouput\2022_12_22_16_25_33_262.jpg;21.0;0.2;0;0.0;106.6771;84.5577;359.8353;90.2472;0.0132
../images_ouput\2022_12_22_16_25_33_302.jpg;21.0;0.2;0;0.0;106.6771;84.5575;359.833;90.2456;0.0128
../images_ouput\2022_12_22_16_25_33_320.jpg;21.0;0.2;0;0.0168;106.677;84.558;359.8438;90.2335;0.0145
../images_ouput\2022_12_22_16_25_33_335.jpg;21.0;0.2;0;0.0168;106.677;84.558;359.8438;90.2335;0.0145
../images_ouput\2022_12_22_16_25_33_355.jpg;21.0;0.2;0;0.0;106.677;84.5577;359.8359;90.207;0.0148
../images_ouput\2022_12_22_16_25_33_372.jpg;21.0;0.2;0;0.0;106.677;84.5579;359.8389;90.128;0.0141
../images_ouput\2022_12_22_16_25_33_388.jpg;21.0;0.2;0;0.0;106.677;84.5579;359.8389;90.128;0.0141
../images_ouput\2022_12_22_16_25_33_399.jpg;21.0;0.2;0;0.0;106.6772;84.558;359.8398;90.1621;0.0073
